Area_Criadora_Evento,Area_Solucionadora,UF,Segmentacao_Cliente,Nivel_1,Nivel_2,Nivel_3,Acao_Resolucao,contrato,Nome_tecnologia_aparelho
Area_1,Area_1,RJ,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_2,Area_1,RJ,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,MG,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_1,PA,Seg_2,N1_1,N2_1,N3_2,AR_1,Contr_3,GSM
Area_3,Area_1,SP,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_1,RJ,Seg_2,N1_1,N2_1,N3_2,AR_1,Contr_3,GSM
Area_3,Area_2,PE,Seg_2,N1_2,N2_2,N3_2,AR_2,Contr_3,GSM
Area_4,Area_1,MG,Seg_2,N1_1,N2_1,N3_2,AR_1,Contr_1,GSM
Area_5,Area_1,RJ,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_1,MG,Seg_1,N1_1,N2_1,N3_1,AR_3,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,RJ,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_2,Area_1,MS,Seg_1,N1_1,N2_1,N3_2,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_1,Area_1,RJ,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_6,Area_3,,Seg_2,N1_3,N2_3,N3_3,AR_4,Contr_3,GSM
Area_3,Area_1,SP,Seg_1,N1_1,N2_4,N3_4,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,RS,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_4,MG,Seg_3,N1_2,N2_5,N3_2,AR_2,Contr_1,GSM
Area_3,Area_4,SP,Seg_1,N1_2,N2_2,N3_5,AR_1,Contr_2,Outras
Area_7,Area_2,RS,Seg_1,N1_1,N2_1,N3_2,AR_2,Contr_2,3G - WCDMA (UMTS)
Area_2,Area_4,RJ,Seg_1,N1_2,N2_5,N3_5,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_1,RJ,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,MG,Seg_1,N1_1,N2_6,N3_6,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,RJ,Seg_1,N1_1,N2_1,N3_2,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_8,Area_2,MS,Seg_1,N1_2,N2_2,N3_7,AR_2,Contr_2,Outras
Area_1,Area_4,RS,Seg_1,N1_2,N2_2,N3_7,AR_1,Contr_1,Outras
Area_3,Area_1,MS,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_1,Area_2,MG,Seg_1,N1_2,N2_2,N3_7,AR_2,Contr_1,Outras
